Company Name,Form Type,CIK,Date Filed,File Name,Error
MFS International Singapore Pte. Ltd.,13F-NT,1604671,20240514,edgar/data/1604671/0001604671-24-000007.txt,AUM not found or could not be parsed
Motors Insurance Corp.,13F-NT,1527661,20240514,edgar/data/1527661/0001527661-24-000004.txt,AUM not found or could not be parsed
NEWTON (PTC) Ltd,13F-NT,1730704,20240514,edgar/data/1730704/0000950123-24-005124.txt,AUM not found or could not be parsed
"Norinchukin Value Investments Co.,Ltd.",13F-NT,1780738,20240514,edgar/data/1780738/0000905148-24-001374.txt,AUM not found or could not be parsed
"Northern Trust Investments, Inc",13F-NT,1256909,20240514,edgar/data/1256909/0001256484-24-000014.txt,AUM not found or could not be parsed
"MFS Institutional Advisors, Inc.",13F-NT,1443066,20240514,edgar/data/1443066/0001443066-24-000007.txt,AUM not found or could not be parsed
Nucleo Master Fundo De Investimento De Acoes,13F-NT,1802726,20240514,edgar/data/1802726/0000919574-24-002910.txt,AUM not found or could not be parsed
MFS International (U.K.) Ltd.,13F-NT,1442854,20240514,edgar/data/1442854/0001442854-24-000007.txt,AUM not found or could not be parsed
NORTHERN TRUST GLOBAL INVESTMENTS LTD,13F-NT,1145619,20240514,edgar/data/1145619/0001256484-24-000015.txt,AUM not found or could not be parsed
Manulife Investment Management (North America) Ltd,13F-NT,1254859,20240514,edgar/data/1254859/0001573679-24-000013.txt,AUM not found or could not be parsed
PEAK6 Group LLC,13F-NT,1389957,20240514,edgar/data/1389957/0001756111-24-000009.txt,AUM not found or could not be parsed
PEAK6 LLC,13F-NT,1389958,20240514,edgar/data/1389958/0001756111-24-000011.txt,AUM not found or could not be parsed
PGIM Wadhwani LLP,13F-NT,1723357,20240514,edgar/data/1723357/0001137774-24-000078.txt,AUM not found or could not be parsed
PICTET ASSET MANAGEMENT (SINGAPORE) PTE LTD,13F-NT,1965477,20240514,edgar/data/1965477/0000950123-24-004924.txt,AUM not found or could not be parsed
PICTET ASSET MANAGEMENT SA,13F-NT,1361570,20240514,edgar/data/1361570/0000950123-24-004913.txt,AUM not found or could not be parsed
NORTHERN TRUST CO,13F-NT,919972,20240514,edgar/data/919972/0001256484-24-000013.txt,AUM not found or could not be parsed
PGIM Quantitative Solutions LLC,13F-NT,1316541,20240514,edgar/data/1316541/0001137774-24-000073.txt,AUM not found or could not be parsed
"PRUDENTIAL GIBRALTAR FINANCIAL LIFE INSURANCE CO., LTD.",13F-NT,1666188,20240514,edgar/data/1666188/0001137774-24-000072.txt,AUM not found or could not be parsed
PEAR TREE ADVISORS INC,13F-NT,919086,20240514,edgar/data/919086/0000919086-24-000003.txt,AUM not found or could not be parsed
PUTNAM ADVISORY CO LLC,13F-NT,81238,20240514,edgar/data/81238/0000038777-24-000094.txt,AUM not found or could not be parsed
PACIFIC INVESTMENT MANAGEMENT CO LLC,13F-NT,1163368,20240514,edgar/data/1163368/0000950123-24-004714.txt,AUM not found or could not be parsed
PUTNAM INVESTMENT MANAGEMENT LLC,13F-NT,81273,20240514,edgar/data/81273/0000038777-24-000093.txt,AUM not found or could not be parsed
"PRUDENTIAL LIFE INSURANCE COMPANY, LTD.",13F-NT,1730802,20240514,edgar/data/1730802/0001137774-24-000075.txt,AUM not found or could not be parsed
"Oaktree Capital Holdings, LLC",13F-NT,1790787,20240514,edgar/data/1790787/0000949509-24-000006.txt,AUM not found or could not be parsed
PICTET ASSET MANAGEMENT LTD,13F-NT,1291274,20240514,edgar/data/1291274/0000950123-24-004919.txt,AUM not found or could not be parsed
Parsow Management LLC,13F-NT,1541495,20240514,edgar/data/1541495/0000900440-24-000054.txt,AUM not found or could not be parsed
"PRUCO SECURITIES, LLC.",13F-NT,80887,20240514,edgar/data/80887/0001137774-24-000077.txt,AUM not found or could not be parsed
Pictet Asset Management (Hong Kong) Ltd,13F-NT,1808517,20240514,edgar/data/1808517/0000950123-24-004914.txt,AUM not found or could not be parsed
Pictet Asset Management (Japan) Ltd.,13F-NT,1774669,20240514,edgar/data/1774669/0000950123-24-004909.txt,AUM not found or could not be parsed
Pivotal bioVenture Partners Fund I U.G.P. Ltd,13F-NT,1752847,20240514,edgar/data/1752847/0001012975-24-000205.txt,AUM not found or could not be parsed
"PGIM, Inc.",13F-NT,946754,20240514,edgar/data/946754/0001137774-24-000074.txt,AUM not found or could not be parsed
Optika Master Portfolio Ltd,13F-NT,1642420,20240514,edgar/data/1642420/0001214659-24-008985.txt,AUM not found or could not be parsed
PEAK6 Capital Management LLC,13F-NT,1389956,20240514,edgar/data/1389956/0001756111-24-000010.txt,AUM not found or could not be parsed
Pictet Asset Management (Europe) S.A.,13F-NT,1856615,20240514,edgar/data/1856615/0000950123-24-004920.txt,AUM not found or could not be parsed
Plymouth Rock Co Inc,13F-NT,1556246,20240514,edgar/data/1556246/0000904454-24-000311.txt,AUM not found or could not be parsed
Prudential Trust Co,13F-NT,1455701,20240514,edgar/data/1455701/0001137774-24-000076.txt,AUM not found or could not be parsed
Palisades Safety & Insurance Association,13F-NT,1576841,20240514,edgar/data/1576841/0000904454-24-000313.txt,AUM not found or could not be parsed
Perseverance Asset Management International (Singapore) Pte.,13F-NT,1975752,20240514,edgar/data/1975752/0001802695-24-000004.txt,AUM not found or could not be parsed
ROCKEFELLER FINANCIAL LLC,13F-NT,1723502,20240514,edgar/data/1723502/0001739439-24-000012.txt,AUM not found or could not be parsed
"Norinchukin Zenkyoren Asset Management Co., Ltd.",13F-NT,1502194,20240514,edgar/data/1502194/0000905148-24-001375.txt,AUM not found or could not be parsed
"ROCKEFELLER TRUST COMPANY, N.A.",13F-NT,866998,20240514,edgar/data/866998/0001739439-24-000010.txt,AUM not found or could not be parsed
SAROFIM TRUST CO,13F-NT,230518,20240514,edgar/data/230518/0000950123-24-004851.txt,AUM not found or could not be parsed
"SC Global Growth II Management, L.P.",13F-NT,1743989,20240514,edgar/data/1743989/0000950123-24-005048.txt,AUM not found or could not be parsed
"SC U.S. Growth VII Management, L.P.",13F-NT,1742978,20240514,edgar/data/1742978/0000950123-24-005053.txt,AUM not found or could not be parsed
"SC U.S. Growth VIII Management, L.P.",13F-NT,1743276,20240514,edgar/data/1743276/0000950123-24-005054.txt,AUM not found or could not be parsed
"SC US/E Expansion Fund I Management, L.P.",13F-NT,1920709,20240514,edgar/data/1920709/0000950123-24-005091.txt,AUM not found or could not be parsed
"SCGGF III - Endurance Partners Management, L.P.",13F-NT,1767303,20240514,edgar/data/1767303/0000950123-24-005049.txt,AUM not found or could not be parsed
"SCGGF MANAGEMENT, L.P.",13F-NT,1611362,20240514,edgar/data/1611362/0000950123-24-005102.txt,AUM not found or could not be parsed
SIMMONS FIRST NATIONAL CORP,13F-NT,90498,20240514,edgar/data/90498/0000950123-24-004947.txt,AUM not found or could not be parsed
SIT FIXED INCOME ADVISORS II LLC /ADV,13F-NT,1053046,20240514,edgar/data/1053046/0000897101-24-000178.txt,AUM not found or could not be parsed
"SLTA SPV-2, L.P.",13F-NT,1767115,20240514,edgar/data/1767115/0000950123-24-004817.txt,AUM not found or could not be parsed
SAROFIM INTERNATIONAL MANAGEMENT CO,13F-NT,949665,20240514,edgar/data/949665/0000950123-24-004850.txt,AUM not found or could not be parsed
Rockefeller Trust Co (Delaware),13F-NT,1292819,20240514,edgar/data/1292819/0001739439-24-000011.txt,AUM not found or could not be parsed
"SLA Co-Invest, GP, L.L.C.",13F-NT,1724587,20240514,edgar/data/1724587/0000950123-24-004814.txt,AUM not found or could not be parsed
STIFEL NICOLAUS & CO INC \MO\,13F-NT,948905,20240514,edgar/data/948905/0000948905-24-000005.txt,AUM not found or could not be parsed
ROCKEFELLER & CO. LLC,13F-NT,315123,20240514,edgar/data/315123/0001739439-24-000009.txt,AUM not found or could not be parsed
"SC U.S. GROWTH VI MANAGEMENT, L.P.",13F-NT,1611388,20240514,edgar/data/1611388/0000950123-24-005051.txt,AUM not found or could not be parsed
SYNOVUS TRUST CO NA,13F-NT,945597,20240514,edgar/data/945597/0001172661-24-002279.txt,AUM not found or could not be parsed
"SCGGF III - U.S./India Management, L.P.",13F-NT,1836399,20240514,edgar/data/1836399/0000950123-24-005097.txt,AUM not found or could not be parsed
"SVB Capital Management, LLC",13F-NT,2011811,20240514,edgar/data/2011811/0000950123-24-004802.txt,AUM not found or could not be parsed
Segantii Capital Management (USA) LLC,13F-NT,1828628,20240514,edgar/data/1828628/0001544676-24-000008.txt,AUM not found or could not be parsed
Senkypl Dusan,13F-NT,1922405,20240514,edgar/data/1922405/0000921895-24-001159.txt,AUM not found or could not be parsed
Segantii Capital Management (UK) Ltd,13F-NT,1766787,20240514,edgar/data/1766787/0001544676-24-000007.txt,AUM not found or could not be parsed
"Silver Lake Alpine Associates, L.P.",13F-NT,1722976,20240514,edgar/data/1722976/0000950123-24-004812.txt,AUM not found or could not be parsed
STICHTING PENSIOENFONDS ABP,13F-NT,918509,20240514,edgar/data/918509/0001323255-24-000012.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates III Cayman, L.P.",13F-NT,1623274,20240514,edgar/data/1623274/0000950123-24-004816.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates III, L.P.",13F-NT,1491809,20240514,edgar/data/1491809/0000950123-24-004819.txt,AUM not found or could not be parsed
"Silver Lake West VoteCo, L.L.C.",13F-NT,1868089,20240514,edgar/data/1868089/0000950123-24-004815.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates IV, L.P.",13F-NT,1672566,20240514,edgar/data/1672566/0000950123-24-004820.txt,AUM not found or could not be parsed
STEWART W P & CO LTD,13F-NT,750443,20240514,edgar/data/750443/0001532155-24-000107.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates V Marquee, L.P.",13F-NT,1740640,20240514,edgar/data/1740640/0000950123-24-004808.txt,AUM not found or could not be parsed
"Sequoia Capital Fund Management, L.P.",13F-NT,1913045,20240514,edgar/data/1913045/0000950123-24-005046.txt,AUM not found or could not be parsed
"Sixth Street Advisers, LLC",13F-NT,1535464,20240514,edgar/data/1535464/0000950123-24-004959.txt,AUM not found or could not be parsed
"SC U.S. VENTURE XIV MANAGEMENT, L.P.",13F-NT,1611397,20240514,edgar/data/1611397/0000950123-24-005085.txt,AUM not found or could not be parsed
"Stoneleigh Partners, LP",13F-NT,1844792,20240514,edgar/data/1844792/0000919574-24-002942.txt,AUM not found or could not be parsed
"Synovus Securities, Inc.",13F-NT,1520194,20240514,edgar/data/1520194/0001172661-24-002278.txt,AUM not found or could not be parsed
TD SECURITIES INC,13F-NT,1106553,20240514,edgar/data/1106553/0001654954-24-006237.txt,AUM not found or could not be parsed
TD GLOBAL FINANCE,13F-NT,1178652,20240514,edgar/data/1178652/0001654954-24-006240.txt,AUM not found or could not be parsed
TD Insurance - Meloche Monnex,13F-NT,1719180,20240514,edgar/data/1719180/0001654954-24-006238.txt,AUM not found or could not be parsed
"Stifel Independent Advisors, LLC",13F-NT,1483835,20240514,edgar/data/1483835/0000948905-24-000006.txt,AUM not found or could not be parsed
TORONTO DOMINION (SOUTH EAST ASIA) Ltd,13F-NT,1584627,20240514,edgar/data/1584627/0001654954-24-006236.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates VI, L.P.",13F-NT,1830249,20240514,edgar/data/1830249/0000950123-24-004813.txt,AUM not found or could not be parsed
"Silver Lake Technology Associates V, L.P.",13F-NT,1737657,20240514,edgar/data/1737657/0000950123-24-004811.txt,AUM not found or could not be parsed
"Strategas Asset Management, LLC",13F-NT,1728280,20240514,edgar/data/1728280/0001648711-24-000014.txt,AUM not found or could not be parsed
Stonehage Fleming Investment Management Ltd,13F-NT,1786380,20240514,edgar/data/1786380/0001214659-24-008991.txt,AUM not found or could not be parsed
THRIVENT INVESTMENT MANAGEMENT INC,13F-NT,1179396,20240514,edgar/data/1179396/0000950123-24-004829.txt,AUM not found or could not be parsed
Theleme Master Fund Ltd,13F-NT,1511880,20240514,edgar/data/1511880/0000919574-24-002901.txt,AUM not found or could not be parsed
Theleme Special Purpose Fund I LP,13F-NT,1805802,20240514,edgar/data/1805802/0000919574-24-002902.txt,AUM not found or could not be parsed
